Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
15,d9kwaceoj54pfprd6oc2hwae6,693,Sochaux,Sochaux,SOC,Sochaux,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1086,"110,136","33,205","49,494","15,424",5600.6,2250.5,3171,4262,1121,348,103,693,2,SOC vs ORL,true,false,true,false,false,2025-08-15,9q105dwj8q5uc8wm2apel25n8,d79cmam5svw9j2mplbu9kut7p,6785,6785,Sochaux,Orléans,ORL,5,0,Played,W 5-0,2585266,SOC vs ORL (2025-08-15)
15,9ri5xhi5qaozcqb7svbvcc4eu,14035,Le Puy Foot,Le Puy Foot,PUY,Le Puy,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1071,"123,066","32,770","61,775","20,144",7862.8,2211.8,3591,5150,1423,490,119,14035,2,VFC vs PUY,false,true,false,false,true,2025-08-15,9qp91bvum338a7urggmn86iac,g8cvbv4wrvq7uf4347yjkd35,1996,1996,Le Puy Foot,Valenciennes,VFC,1,2,Played,L 1-2,2585268,VFC vs PUY (2025-08-15)
15,36bxy6avfw3xp8ocj9frad4b7,3315,Villefranche,Villefranche,VIL,Villefranche,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1049,"105,282","34,001","49,237","13,714",5874.3,2064.0,3257,4412,1005,371,101,3315,2,AUB vs VIL,false,true,false,false,true,2025-08-15,9ocrnlbc92igj7dq37siqr8k4,7gytr31zcn0gcewa7pu1ed5hz,9600,9600,Villefranche,Aubagne,AUB,1,3,Played,L 1-3,2585261,AUB vs VIL (2025-08-15)
15,rv0okxl2zv1ow3me605xl8b5,3271,Stade Briochin,Stade Briochin,SBR,Stade Briochin,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1068,"111,099","34,352","53,541","15,363",6130.7,2302.5,3402,4752,1099,384,124,3271,2,FLE vs SBR,false,true,false,false,true,2025-08-15,9pozttd1bxhclbfzsd07cpz4k,1z48unyzdkaoulghr9kkgt1g0,12199,12199,Stade Briochin,Fleury,FLE,1,4,Played,L 1-4,2585265,FLE vs SBR (2025-08-15)
15,g8cvbv4wrvq7uf4347yjkd35,1996,Valenciennes,Valenciennes,VFC,Valenciennes,#FF0000,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1071,"121,313","33,301","60,130","18,417",6796.9,2218.9,3634,5113,1340,433,104,1996,2,VFC vs PUY,true,false,true,false,false,2025-08-15,9qp91bvum338a7urggmn86iac,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Valenciennes,Le Puy Foot,PUY,2,1,Played,W 2-1,2585268,VFC vs PUY (2025-08-15)
15,b97a5km6rb42fv858volubsi6,2340,Rouen,Rouen,ROU,Rouen,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1101,"109,620","35,737","54,367","13,846",5043.9,1540.4,3432,4616,999,313,74,2340,2,DIJ vs ROU,false,true,false,true,false,2025-08-15,9p0x9drzv06l9ih49vc3o4kr8,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Rouen,Dijon,DIJ,1,1,Played,T 1-1,2585263,DIJ vs ROU (2025-08-15)
15,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1056,"104,352","34,173","50,211","13,603",4671.6,1287.3,3462,4557,1006,296,64,1028,2,QRM vs CAE,false,true,false,true,false,2025-08-15,9qd2v6r83y7wmkfyjoj599fys,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Caen,Quevilly-Rouen Métropole,QRM,1,1,Played,T 1-1,2585267,QRM vs CAE (2025-08-15)
15,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-Rouen Métropole,Quevilly-Rouen Métropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1056,"106,281","33,919","51,598","14,377",5086.7,1312.8,3492,4642,1049,322,74,2541,2,QRM vs CAE,true,false,false,true,false,2025-08-15,9qd2v6r83y7wmkfyjoj599fys,ab80vest6tgco121qtfyphq7c,1028,1028,Quevilly-Rouen Métropole,Caen,CAE,1,1,Played,T 1-1,2585267,QRM vs CAE (2025-08-15)
15,1z48unyzdkaoulghr9kkgt1g0,12199,Fleury,Fleury,FLE,Fleury,,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1068,"111,367","34,801","55,320","14,773",6031.0,2281.1,3492,4736,1075,389,116,12199,2,FLE vs SBR,true,false,true,false,false,2025-08-15,9pozttd1bxhclbfzsd07cpz4k,rv0okxl2zv1ow3me605xl8b5,3271,3271,Fleury,Stade Briochin,SBR,4,1,Played,W 4-1,2585265,FLE vs SBR (2025-08-15)
15,bizl0ptma24fjoafuqclu8k5b,3312,Bourg-Péronnas,Bourg-Péronnas,BBP,Bourg-Péronnas,#0000ff,1qd0wvt30rlswa4g6nu4na660,National 1 (France),1089,"112,021","34,415","54,298","15,256",5890.1,1592.3,3534,4729,1128,368,91,3312,2,CHA vs BBP,false,true,false,true,false,2025-08-15,9pcxn64arae6ilzn65cvcvf2s,67igj3fctu1kt6ntkrwpdt72i,921,921,Bourg-Péronnas,Châteauroux,CHA,2,2,Played,T 2-2,2585264,CHA vs BBP (2025-08-15)
