Rank,teamId,teamImageId,teamFullName,team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,MinIncET,DistanceRun,WalkDist,JogDist,RunDist,HiSpeedRunDist,SprintDist,WalkCount,JogCount,RunCount,HiSpeedRunCount,SprintCount,optaTeamId,week,game,home,away,win,draw,loss,date,gameId,opponentId,opponentTeamImageId,oppOptaTeamId,teamFullName.1,opponentFullName,opponent,score,finalScoreOpponent,gameStatus,result,scatterId,scatterExtra
15,36bxy6avfw3xp8ocj9frad4b7,3315,Villefranche,Villefranche,VIL,Villefranche,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1049,105282,34001,49237,13714,5874.3,2064.0,3257,4412,1005,371,101,3315,2,AUBvsVIL,false,true,false,false,true,2025-08-15,9ocrnlbc92igj7dq37siqr8k4,7gytr31zcn0gcewa7pu1ed5hz,9600,9600,Villefranche,Aubagne,AUB,1,3,Played,L1-3,2585261,AUBvsVIL(2025-08-15)
15,rv0okxl2zv1ow3me605xl8b5,3271,StadeBriochin,StadeBriochin,SBR,StadeBriochin,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1068,111099,34352,53541,15363,6130.7,2302.5,3402,4752,1099,384,124,3271,2,FLEvsSBR,false,true,false,false,true,2025-08-15,9pozttd1bxhclbfzsd07cpz4k,1z48unyzdkaoulghr9kkgt1g0,12199,12199,StadeBriochin,Fleury,FLE,1,4,Played,L1-4,2585265,FLEvsSBR(2025-08-15)
15,g8cvbv4wrvq7uf4347yjkd35,1996,Valenciennes,Valenciennes,VFC,Valenciennes,#FF0000,1qd0wvt30rlswa4g6nu4na660,National1(France),1071,121313,33301,60130,18417,6796.9,2218.9,3634,5113,1340,433,104,1996,2,VFCvsPUY,true,false,true,false,false,2025-08-15,9qp91bvum338a7urggmn86iac,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Valenciennes,LePuyFoot,PUY,2,1,Played,W2-1,2585268,VFCvsPUY(2025-08-15)
15,b97a5km6rb42fv858volubsi6,2340,Rouen,Rouen,ROU,Rouen,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1101,109620,35737,54367,13846,5043.9,1540.4,3432,4616,999,313,74,2340,2,DIJvsROU,false,true,false,true,false,2025-08-15,9p0x9drzv06l9ih49vc3o4kr8,79dc2mv3x269nhix3mkhc5wfu,2130,2130,Rouen,Dijon,DIJ,1,1,Played,T1-1,2585263,DIJvsROU(2025-08-15)
15,ab80vest6tgco121qtfyphq7c,1028,Caen,Caen,CAE,Caen,#000099,1qd0wvt30rlswa4g6nu4na660,National1(France),1056,104352,34173,50211,13603,4671.6,1287.3,3462,4557,1006,296,64,1028,2,QRMvsCAE,false,true,false,true,false,2025-08-15,9qd2v6r83y7wmkfyjoj599fys,8ng94h4147jxd5oxgoaa95yl4,2541,2541,Caen,Quevilly-RouenMétropole,QRM,1,1,Played,T1-1,2585267,QRMvsCAE(2025-08-15)
15,8ng94h4147jxd5oxgoaa95yl4,2541,Quevilly-RouenMétropole,Quevilly-RouenMétropole,QRM,QRM,#FFFF00,1qd0wvt30rlswa4g6nu4na660,National1(France),1056,106281,33919,51598,14377,5086.7,1312.8,3492,4642,1049,322,74,2541,2,QRMvsCAE,true,false,false,true,false,2025-08-15,9qd2v6r83y7wmkfyjoj599fys,ab80vest6tgco121qtfyphq7c,1028,1028,Quevilly-RouenMétropole,Caen,CAE,1,1,Played,T1-1,2585267,QRMvsCAE(2025-08-15)
15,1z48unyzdkaoulghr9kkgt1g0,12199,Fleury,Fleury,FLE,Fleury,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1068,111367,34801,55320,14773,6031.0,2281.1,3492,4736,1075,389,116,12199,2,FLEvsSBR,true,false,true,false,false,2025-08-15,9pozttd1bxhclbfzsd07cpz4k,rv0okxl2zv1ow3me605xl8b5,3271,3271,Fleury,StadeBriochin,SBR,4,1,Played,W4-1,2585265,FLEvsSBR(2025-08-15)
15,bizl0ptma24fjoafuqclu8k5b,3312,Bourg-Péronnas,Bourg-Péronnas,BBP,Bourg-Péronnas,#0000ff,1qd0wvt30rlswa4g6nu4na660,National1(France),1089,112021,34415,54298,15256,5890.1,1592.3,3534,4729,1128,368,91,3312,2,CHAvsBBP,false,true,false,true,false,2025-08-15,9pcxn64arae6ilzn65cvcvf2s,67igj3fctu1kt6ntkrwpdt72i,921,921,Bourg-Péronnas,Châteauroux,CHA,2,2,Played,T2-2,2585264,CHAvsBBP(2025-08-15)
15,dse1eu8y1o3t00rlbxpgo084c,5427,Versailles,Versailles,VRS,Versailles,nan,1qd0wvt30rlswa4g6nu4na660,National1(France),1120,113557,34667,53429,15939,7319.2,3113.6,3503,4751,1135,444,160,5427,2,VRSvsP13,true,false,true,false,false,2025-08-15,9r1h3gsbf1u3gozvtyr592f4k,f0ticxo5bjjif0gb54ewfdppm,21581,21581,Versailles,Paris13Atletico,P13,2,1,Played,W2-1,2585269,VRSvsP13(2025-08-15)
31,67igj3fctu1kt6ntkrwpdt72i,921,Châteauroux,Châteauroux,CHA,Châteauroux,#0000FF,1qd0wvt30rlswa4g6nu4na660,National1(France),1046,103328,30891,50695,13504,4702.3,1258.3,3188,4301,981,301,68,921,3,PUYvsCHA,false,true,false,true,false,2025-08-22,9sgc6840y309m5jfkk8mmk5ck,9ri5xhi5qaozcqb7svbvcc4eu,14035,14035,Châteauroux,LePuyFoot,PUY,2,2,Played,T2-2,2585273,PUYvsCHA(2025-08-22)
